name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
La Java,0.563,0.184,-13.757,0.0512,0.993,1.55e-05,0.325,0.654,133.088,vintage chanson
En Douce,0.427,0.18,-15.375,0.067,0.989,0.0,0.128,0.431,78.459,vintage chanson
J'en Ai Marre,0.511,0.206,-15.514,0.0592,0.995,0.0,0.418,0.481,70.443,vintage chanson
Ils n'ont pas ca,0.676,0.467,-12.393,0.165,0.991,0.0,0.219,0.726,129.775,vintage chanson
La belote,0.65,0.298,-13.806,0.138,0.991,0.0,0.373,0.844,75.95,vintage chanson
Oh mademoiselle,0.671,0.454,-14.39,0.279,0.988,0.0,0.318,0.852,121.611,vintage chanson
Il m'a vue nue,0.515,0.249,-9.382,0.0408,0.994,1.13e-05,0.314,0.592,72.791,vintage chanson
Mon Bus'ness,0.415,0.33,-14.533,0.128,0.978,0.0,0.32,0.719,72.96,vintage chanson
Ça c'est Paris,0.582,0.371,-9.032,0.0337,0.994,0.000647,0.0937,0.76,128.547,vintage chanson
Le Fado,0.537,0.383,-12.114,0.0567,0.992,4.08e-06,0.144,0.639,136.825,vintage chanson
Valencia,0.404,0.467,-12.8,0.0752,0.989,0.000134,0.201,0.72,68.586,vintage chanson
J'suis Nature,0.661,0.218,-13.066,0.0668,0.886,0.0,0.135,0.834,125.892,vintage chanson
Il M'a Vue Nue,0.474,0.142,-15.143,0.0408,0.95,0.0,0.223,0.722,74.006,vintage chanson
Ça C'est Paris,0.649,0.292,-10.492,0.0353,0.952,1.2e-05,0.0731,0.847,128.0,vintage chanson
Parisette,0.645,0.37,-12.21,0.0644,0.942,1.83e-06,0.0913,0.893,132.871,vintage chanson
On M'suit,0.76,0.366,-10.173,0.065,0.939,0.0,0.407,0.846,129.074,vintage chanson
La Java De Doudoune,0.598,0.277,-10.338,0.0495,0.91,0.0,0.266,0.744,75.772,vintage chanson
Tout Ça C'est Pour Vous,0.521,0.188,-12.262,0.0459,0.897,0.0,0.102,0.705,110.853,vintage chanson
Gosse De Paris,0.707,0.316,-12.235,0.221,0.98,0.0,0.0851,0.804,111.138,vintage chanson
C'est Tout C'que J'ai,0.637,0.184,-12.268,0.053,0.969,0.0,0.321,0.633,92.062,vintage chanson
Rita,0.646,0.376,-13.469,0.106,0.929,0.0,0.165,0.874,78.611,vintage chanson
J'ai Des Touches,0.717,0.231,-15.574,0.267,0.914,0.0,0.064,0.786,119.306,vintage chanson
C'est Vrai,0.711,0.193,-14.279,0.0923,0.954,0.0,0.148,0.833,126.836,vintage chanson
Mon homme,0.455,0.173,-19.015,0.0772,0.935,0.0,0.6,0.542,95.784,vintage chanson
Elle Prend L'boulevard Magenta,0.709,0.289,-14.978,0.18,0.967,0.0,0.119,0.84,107.515,vintage chanson
Elle Vendait Des P'tits Gateaux,0.716,0.301,-14.07,0.105,0.987,0.0,0.277,0.969,129.153,vintage chanson
La Valse Du Faubourg,0.623,0.292,-11.501,0.0558,0.978,0.0,0.341,0.934,61.28,vintage chanson
Tout Doucement À Pas De Loup,0.683,0.241,-14.603,0.375,0.957,0.00423,0.214,0.727,142.683,vintage chanson
Mam'zell Accept'rez Vous,0.673,0.252,-16.271,0.124,0.888,0.0442,0.069,0.766,94.972,vintage chanson
Nuits De Chine,0.42,0.288,-14.005,0.0701,0.994,0.000216,0.196,0.4,139.575,vintage chanson
Les ménétriers,0.522,0.303,-13.906,0.0793,0.995,2.46e-06,0.135,0.647,79.817,vintage chanson
C'est La Mode Et Voila Tout,0.592,0.408,-11.585,0.271,0.993,1.54e-06,0.413,0.766,81.126,vintage chanson
La Ronde De Nuit,0.55,0.31,-15.423,0.168,0.992,0.0,0.204,0.568,125.829,vintage chanson
Quand On Aime On A Toujours Vingt Ans,0.374,0.383,-15.804,0.188,0.987,0.0,0.241,0.524,169.836,vintage chanson
Je N'suis Pas Celle Que Vous Croyez,0.65,0.52,-12.068,0.0817,0.953,0.0,0.0629,0.888,131.367,vintage chanson
Sous Le Soleil Marocain,0.496,0.383,-11.25,0.0672,0.99,0.0,0.184,0.578,97.72,vintage chanson
La Chanson Française,0.569,0.312,-10.911,0.0919,0.993,7.26e-06,0.156,0.792,135.851,vintage chanson
Dites Moi Doumergue,0.71,0.561,-12.736,0.472,0.955,0.0,0.213,0.963,78.705,vintage chanson
La Noce À Rebecca,0.769,0.442,-12.697,0.273,0.989,1.27e-06,0.167,0.934,132.125,vintage chanson
Le Tango Neurasthénique,0.564,0.433,-14.619,0.356,0.979,3.74e-06,0.226,0.601,72.003,vintage chanson
Méfiez Vous D'anatole,0.625,0.35,-15.916,0.312,0.984,0.0,0.0988,0.808,81.567,vintage chanson
Sur La Pointe Des Pieds,0.528,0.343,-14.963,0.315,0.995,0.0,0.385,0.634,83.2,vintage chanson
Ma Gosse,0.635,0.285,-16.475,0.217,0.98,0.0,0.446,0.759,123.849,vintage chanson
Il N'osait Pas Se Decider,0.613,0.457,-15.501,0.51,0.976,0.0,0.192,0.706,76.682,vintage chanson
Passons la monnaie,0.553,0.374,-11.64,0.329,0.991,0.0,0.159,0.513,85.914,vintage chanson
Par politesse,0.527,0.329,-15.134,0.302,0.993,0.0,0.116,0.753,79.839,vintage chanson
La plus bath des javas,0.651,0.454,-12.764,0.169,0.993,0.0,0.278,0.826,80.1,vintage chanson
Hortensia Ou La Fille Du Jazz Band,0.541,0.378,-15.167,0.0777,0.992,0.000102,0.131,0.733,140.419,vintage chanson
L'homme Du Milieu,0.726,0.363,-15.093,0.0892,0.987,0.0,0.12,0.798,88.384,vintage chanson
Les Absents Ont Toujours Tort,0.672,0.38,-14.833,0.212,0.994,0.0,0.426,0.911,120.162,vintage chanson
L'amour Excuse Tout,0.655,0.433,-15.925,0.409,0.989,0.0,0.335,0.768,92.762,vintage chanson
Jacky Apprend Le Charleston,0.616,0.345,-13.57,0.225,0.995,0.0,0.0835,0.676,118.375,vintage chanson
Y S'retourne Sur Toutes Les Femmes,0.648,0.399,-11.759,0.315,0.995,0.0,0.145,0.879,129.826,vintage chanson
Veux Tu Que J'te Fasse Un Dessin,0.625,0.295,-15.43,0.245,0.834,0.818,0.0971,0.52,127.33,vintage chanson
Qu'est Ce Qu'il Faut Faire Pour Gagner Son Beefsteak,0.683,0.396,-14.554,0.392,0.828,0.00343,0.103,0.769,64.177,vintage chanson
Le Genre De La Maison,0.7,0.518,-11.155,0.363,0.948,0.0,0.296,0.9,83.328,vintage chanson
Il Ne Faut Pas Qu'une Femme Entende Des Choses Comme Ça,0.656,0.29,-13.385,0.145,0.908,0.0,0.466,0.8,127.505,vintage chanson
Les Moins De Cent Ans,0.636,0.365,-13.011,0.321,0.832,0.0,0.138,0.799,143.499,vintage chanson
Le Piéton,0.679,0.442,-12.63,0.466,0.903,0.0,0.128,0.764,112.733,vintage chanson
On L'appelait Fleur Des Fortifs,0.644,0.297,-11.957,0.429,0.694,0.0,0.0783,0.764,98.965,vintage chanson
Oh Oh Il Travaille Du Chapeau,0.706,0.392,-14.077,0.739,0.837,0.0,0.126,0.796,75.143,vintage chanson
Mes Parents Sont Venus Me Chercher,0.554,0.204,-14.764,0.0598,0.995,1.24e-06,0.153,0.62,97.337,vintage chanson
Antoine,0.537,0.153,-15.217,0.0898,0.994,0.0,0.419,0.558,129.134,vintage chanson
C'est Jeune Et Ca N'sait Pas,0.687,0.173,-14.726,0.0772,0.993,0.0,0.86,0.765,114.198,vintage chanson
La chanson du trombone,0.526,0.151,-16.071,0.0696,0.995,0.0,0.376,0.484,81.288,vintage chanson
West End Blues,0.621,0.274,-12.094,0.0514,0.986,0.63,0.113,0.523,84.788,new orleans jazz
Muggles,0.586,0.113,-12.211,0.0607,0.989,0.276,0.181,0.484,85.235,new orleans jazz
Beau Koo Jack,0.733,0.418,-12.287,0.0765,0.949,0.792,0.229,0.961,121.289,new orleans jazz
Heebie Jeebies,0.63,0.232,-13.627,0.0569,0.995,0.00627,0.124,0.59,164.027,new orleans jazz
Gut Bucket Blues,0.602,0.216,-12.264,0.0676,0.996,0.524,0.0973,0.716,146.183,new orleans jazz
Skid-Dat-De-Dat,0.658,0.0841,-14.759,0.0496,0.994,0.767,0.088,0.504,121.494,new orleans jazz
King Of The Zulas,0.536,0.168,-15.701,0.114,0.994,0.121,0.29,0.554,169.061,new orleans jazz
Skip The Gutter,0.653,0.131,-19.164,0.0628,0.977,0.733,0.6,0.593,124.1,new orleans jazz
Basin Street Blues - rec. 1928,0.561,0.353,-9.617,0.0538,0.971,0.13,0.922,0.514,107.711,new orleans jazz
Cornet Chop Suey,0.558,0.19,-14.621,0.0869,0.995,0.572,0.113,0.692,170.066,new orleans jazz
Tight Like This,0.726,0.254,-10.298,0.124,0.982,0.33,0.0398,0.456,110.86,new orleans jazz
Two Deuces,0.713,0.294,-10.672,0.073,0.963,0.348,0.387,0.558,85.299,new orleans jazz
Basin Street Blues - rec. 1928,0.604,0.279,-11.588,0.0446,0.986,0.237,0.275,0.594,123.271,new orleans jazz
Savoy Blues,0.811,0.151,-14.297,0.0823,0.986,0.869,0.0965,0.544,127.944,new orleans jazz
Big Butter And Egg Man,0.699,0.273,-11.624,0.0886,0.995,0.367,0.108,0.895,102.375,new orleans jazz
Don't Forget To Mess Around,0.634,0.335,-11.135,0.0646,0.992,0.0124,0.0919,0.774,101.383,new orleans jazz
Heebie Jeebies,0.668,0.321,-10.663,0.0916,0.983,2.67e-05,0.141,0.592,164.459,new orleans jazz
"Come Back, Sweet Papa",0.775,0.302,-10.082,0.127,0.916,0.553,0.0369,0.924,99.518,new orleans jazz
Gut Bucket Blues,0.573,0.306,-9.597,0.0513,0.988,3.19e-05,0.0786,0.738,146.726,new orleans jazz
Who'sit,0.727,0.347,-10.413,0.0393,0.993,0.696,0.0718,0.868,106.336,new orleans jazz
You're Next,0.626,0.227,-11.831,0.0581,0.985,0.0212,0.119,0.494,126.859,new orleans jazz
You're Next,0.625,0.227,-11.828,0.0584,0.985,0.0216,0.119,0.474,126.859,new orleans jazz
Muskrat Ramble,0.668,0.342,-10.164,0.213,0.982,0.616,0.071,0.849,183.842,new orleans jazz
Who'sit,0.727,0.347,-10.413,0.0393,0.993,0.696,0.0718,0.868,106.336,new orleans jazz
My Heart,0.696,0.463,-7.236,0.097,0.985,0.144,0.089,0.825,97.808,new orleans jazz
Cornet Chop Suey,0.628,0.278,-9.357,0.144,0.994,0.135,0.0617,0.77,97.268,new orleans jazz
Heebie Jeebies,0.668,0.321,-10.663,0.0916,0.983,2.67e-05,0.141,0.592,164.459,new orleans jazz
Don't Forget To Mess Around,0.634,0.335,-11.135,0.0646,0.992,0.0124,0.0919,0.774,101.381,new orleans jazz
Georgia Grind,0.733,0.209,-14.649,0.0603,0.908,0.0,0.178,0.7,140.38,new orleans jazz
"Come Back, Sweet Papa",0.775,0.302,-10.082,0.125,0.916,0.538,0.0369,0.925,99.515,new orleans jazz
Oriental Strut,0.54,0.254,-11.859,0.0823,0.995,0.493,0.175,0.473,183.916,new orleans jazz
Georgia Grind,0.732,0.209,-14.649,0.0596,0.908,0.0,0.178,0.696,140.423,new orleans jazz
Gut Bucket Blues,0.618,0.141,-17.2,0.113,0.996,0.91,0.115,0.759,138.691,new orleans jazz
Droppin' Shucks,0.579,0.295,-9.23,0.132,0.993,0.145,0.24,0.767,176.628,new orleans jazz
West End Blues,0.595,0.191,-13.623,0.0553,0.971,0.533,0.0881,0.338,83.579,new orleans jazz
Yes! I'm in the Barrel,0.729,0.277,-9.915,0.0859,0.995,0.0015,0.107,0.746,155.109,new orleans jazz
You Made Me Love You,0.54,0.323,-10.095,0.174,0.994,0.0506,0.111,0.698,196.428,new orleans jazz
Lonesome Blues,0.593,0.191,-12.792,0.0404,0.987,0.0,0.093,0.318,83.735,new orleans jazz
Irish Black Bottom,0.725,0.355,-13.116,0.0734,0.873,4.24e-06,0.122,0.917,99.223,new orleans jazz
Big Fat Ma and Skinny Pa,0.593,0.343,-10.829,0.29,0.995,0.15,0.675,0.769,172.958,new orleans jazz
Put 'Em Down Blues,0.691,0.404,-10.591,0.0938,0.922,0.0135,0.175,0.87,101.211,new orleans jazz
Muskrat Ramble,0.673,0.342,-10.164,0.201,0.982,0.616,0.071,0.844,184.182,new orleans jazz
Struttin' with Some Barbecue - 78 rpm Version,0.732,0.327,-7.941,0.125,0.932,0.863,0.0481,0.885,95.97,new orleans jazz
Big Fat Ma And Skinny Pa,0.593,0.343,-10.829,0.29,0.995,0.15,0.675,0.769,172.958,new orleans jazz
West End Blues,0.595,0.191,-13.623,0.0553,0.971,0.533,0.0881,0.338,83.579,new orleans jazz
Skid-Dat-De-Dat,0.668,0.151,-13.342,0.0482,0.968,0.0224,0.0851,0.609,122.072,new orleans jazz
Don't Jive Me,0.615,0.354,-12.111,0.0781,0.93,0.805,0.296,0.936,175.154,new orleans jazz
Cornet Chop Suey - in Eb,0.56,0.286,-9.316,0.149,0.995,0.59,0.134,0.725,170.478,new orleans jazz
Georgia Grind,0.816,0.111,-16.78,0.0789,0.996,0.136,0.36,0.564,133.454,new orleans jazz
Skip the Gutter,0.664,0.175,-14.673,0.0851,0.944,0.734,0.107,0.539,121.919,new orleans jazz
Irish Black Bottom,0.728,0.355,-13.116,0.0728,0.872,4.23e-06,0.122,0.919,99.269,new orleans jazz
My Heart,0.696,0.463,-7.236,0.097,0.985,0.144,0.089,0.825,97.808,new orleans jazz
The Last Time,0.628,0.267,-10.468,0.0846,0.93,0.03,0.138,0.839,157.093,new orleans jazz
Once In a While,0.769,0.35,-8.633,0.0644,0.862,0.837,0.0439,0.73,100.933,new orleans jazz
Who'sit,0.716,0.173,-16.527,0.0546,0.996,0.917,0.118,0.645,98.769,new orleans jazz
Heebie Jeebies,0.669,0.321,-10.675,0.104,0.983,2.39e-05,0.144,0.598,164.499,new orleans jazz
Sugar Foot Strut,0.615,0.364,-11.64,0.44,0.96,0.114,0.0817,0.894,182.964,new orleans jazz
I'm Gonna Gitcha,0.552,0.354,-11.332,0.12,0.949,2.5e-05,0.162,0.904,202.05,new orleans jazz
Basin Street Blues,0.581,0.137,-14.072,0.049,0.825,4.63e-05,0.872,0.361,109.719,new orleans jazz
Who'sit,0.727,0.347,-10.413,0.0393,0.993,0.696,0.0718,0.868,106.336,new orleans jazz
"Come Back, Sweet Papa",0.644,0.123,-18.648,0.394,0.995,0.858,0.218,0.787,189.67,new orleans jazz
Basin Street Blues,0.581,0.137,-14.072,0.0489,0.825,4.65e-05,0.872,0.361,109.721,new orleans jazz
Struttin' With Some Barbecue - 78 rpm Version,0.731,0.327,-7.941,0.125,0.932,0.863,0.0481,0.884,95.973,new orleans jazz
Hotter Than That,0.794,0.431,-9.439,0.0638,0.885,0.444,0.22,0.927,107.707,new orleans jazz
Muskrat Ramble,0.668,0.342,-10.164,0.213,0.982,0.616,0.071,0.849,183.842,new orleans jazz
I'm Gonna Gitcha,0.568,0.156,-16.906,0.317,0.996,0.734,0.209,0.8,186.689,new orleans jazz
My Heart,0.696,0.464,-7.236,0.0964,0.985,0.145,0.0904,0.825,97.808,new orleans jazz
Cornet Chop Suey - in Eb,0.559,0.286,-9.316,0.15,0.995,0.583,0.134,0.725,170.76,new orleans jazz
Gut Bucket Blues,0.574,0.308,-9.597,0.0509,0.988,2.4e-05,0.0786,0.739,146.726,new orleans jazz
Savoy Blues,0.795,0.292,-9.98,0.047,0.952,0.743,0.072,0.729,128.495,new orleans jazz
Heebie Jeebies,0.686,0.127,-17.711,0.0818,0.996,0.372,0.112,0.592,156.359,new orleans jazz
Gut Bucket Blues,0.573,0.306,-9.597,0.0513,0.988,3.19e-05,0.0786,0.738,146.726,new orleans jazz
I'm Gonna Gitcha,0.552,0.354,-11.332,0.12,0.949,2.51e-05,0.162,0.904,201.978,new orleans jazz
Georgia Grind,0.733,0.209,-14.649,0.0603,0.908,0.0,0.178,0.7,140.38,new orleans jazz
Big Butter And Egg Man,0.65,0.297,-10.638,0.0856,0.993,0.0394,0.166,0.871,99.257,new orleans jazz
Two Deuces,0.713,0.207,-12.651,0.115,0.941,0.218,0.0621,0.47,83.828,new orleans jazz
Don't Jive Me,0.615,0.354,-12.111,0.0778,0.931,0.796,0.296,0.935,175.153,new orleans jazz
You Made Me Love You,0.717,0.322,-10.095,0.0833,0.994,0.0506,0.111,0.687,97.95,new orleans jazz
I'm Not Rough,0.633,0.388,-8.651,0.162,0.811,0.408,0.114,0.539,114.687,new orleans jazz
Sweet Little Papa,0.796,0.344,-10.067,0.0952,0.988,0.844,0.106,0.889,94.343,new orleans jazz
Ory's Creole Trombone,0.704,0.518,-8.33,0.112,0.96,0.749,0.762,0.961,102.646,new orleans jazz
A Monday Date,0.805,0.311,-12.564,0.478,0.962,0.00223,0.151,0.697,117.439,new orleans jazz
Fireworks,0.748,0.361,-11.349,0.1,0.98,0.788,0.0581,0.876,117.609,new orleans jazz
Big Butter And Egg Man,0.65,0.297,-10.638,0.0856,0.993,0.0394,0.166,0.871,99.257,new orleans jazz
Savoy Blues,0.791,0.285,-9.957,0.0466,0.953,0.644,0.062,0.713,128.434,new orleans jazz
Two Deuces,0.713,0.207,-12.651,0.115,0.941,0.218,0.0621,0.47,83.828,new orleans jazz
Fireworks,0.749,0.361,-11.349,0.101,0.98,0.792,0.0581,0.876,117.609,new orleans jazz
Sunset Cafe Stomp,0.819,0.371,-9.272,0.0855,0.992,0.0318,0.0987,0.947,106.524,new orleans jazz
Muskrat Ramble,0.686,0.216,-14.856,0.0959,0.996,0.901,0.0595,0.882,174.4,new orleans jazz
You Made Me Love You,0.54,0.323,-10.095,0.174,0.994,0.0506,0.111,0.698,196.428,new orleans jazz
Jazz Lips,0.807,0.349,-12.433,0.0906,0.936,0.218,0.154,0.962,107.182,new orleans jazz
Got No Blues,0.686,0.269,-9.795,0.308,0.918,0.793,0.0702,0.831,143.918,new orleans jazz
Lonesome Blues,0.593,0.191,-12.792,0.0404,0.987,0.0,0.093,0.318,83.735,new orleans jazz
A Monday Date,0.805,0.311,-12.564,0.478,0.962,0.00223,0.151,0.697,117.439,new orleans jazz
Lonesome Blues,0.581,0.191,-12.792,0.04,0.987,0.0,0.093,0.317,83.488,new orleans jazz
Jazz Lips,0.807,0.349,-12.433,0.0906,0.936,0.218,0.154,0.962,107.182,new orleans jazz
Ory's Creole Trombone,0.709,0.52,-8.295,0.12,0.956,0.786,0.769,0.961,101.64,new orleans jazz
Once In A While,0.543,0.35,-8.597,0.117,0.858,0.859,0.042,0.747,201.651,new orleans jazz
You're Next,0.626,0.227,-11.831,0.0581,0.985,0.0212,0.119,0.494,126.859,new orleans jazz
The Last Time,0.628,0.267,-10.468,0.0846,0.93,0.0261,0.138,0.839,157.093,new orleans jazz
Skip The Gutter,0.664,0.175,-14.673,0.0851,0.944,0.734,0.107,0.539,121.919,new orleans jazz
Droppin' Shucks,0.613,0.114,-17.569,0.184,0.996,0.829,0.247,0.629,163.646,new orleans jazz
Sweet Little Papa,0.796,0.344,-10.067,0.0952,0.988,0.844,0.106,0.889,94.343,new orleans jazz
Oriental Strut,0.54,0.254,-11.859,0.0823,0.995,0.496,0.174,0.473,183.916,new orleans jazz
Cornet Chop Suey - in Eb,0.554,0.286,-9.324,0.159,0.995,0.494,0.127,0.721,175.793,new orleans jazz
Two Deuces,0.717,0.207,-12.651,0.11,0.941,0.218,0.0621,0.47,84.605,new orleans jazz
Put 'Em Down Blues,0.69,0.408,-10.568,0.112,0.925,0.0193,0.186,0.876,102.519,new orleans jazz
Irish Black Bottom,0.728,0.355,-13.116,0.0728,0.872,4.23e-06,0.122,0.919,99.269,new orleans jazz
Yes! I'm in the Barrel,0.73,0.277,-9.915,0.0858,0.995,0.0015,0.107,0.746,155.128,new orleans jazz
The King of the Zulus,0.596,0.258,-9.763,0.214,0.994,0.445,0.409,0.57,168.699,new orleans jazz
My Heart,0.625,0.366,-13.557,0.056,0.995,0.741,0.0728,0.939,94.231,new orleans jazz
Don't Forget To Mess Around,0.634,0.335,-11.135,0.0646,0.992,0.0124,0.0919,0.774,101.381,new orleans jazz
Big Fat Ma and Skinny Pa,0.591,0.149,-18.048,0.195,0.995,0.846,0.319,0.703,160.728,new orleans jazz
I'm Gonna Gitcha,0.552,0.354,-11.332,0.12,0.949,2.51e-05,0.162,0.904,201.978,new orleans jazz
Struttin' with Some Barbecue - 78 rpm Version,0.748,0.325,-7.899,0.141,0.934,0.899,0.0497,0.887,95.987,new orleans jazz
Savoy Blues,0.799,0.291,-9.98,0.0465,0.952,0.745,0.072,0.727,128.594,new orleans jazz
Sugar Foot Strut,0.615,0.364,-11.639,0.439,0.96,0.113,0.0817,0.894,182.977,new orleans jazz
Basin Street Blues,0.581,0.137,-14.072,0.0489,0.825,4.65e-05,0.872,0.361,109.721,new orleans jazz
Fireworks,0.748,0.361,-11.349,0.1,0.98,0.788,0.0581,0.876,117.609,new orleans jazz
The Last Time,0.632,0.264,-10.455,0.0893,0.928,0.0326,0.139,0.829,158.244,new orleans jazz
Skip the Gutter,0.664,0.176,-14.673,0.0848,0.944,0.735,0.107,0.54,121.929,new orleans jazz
West End Blues,0.595,0.189,-13.621,0.056,0.971,0.513,0.0881,0.338,83.579,new orleans jazz
You're Next,0.622,0.1,-18.025,0.0748,0.996,0.692,0.0858,0.452,119.484,new orleans jazz
Sunset Cafe Stomp,0.815,0.371,-9.272,0.0837,0.992,0.0328,0.0987,0.947,106.508,new orleans jazz
Cornet Chop Suey,0.628,0.278,-9.357,0.144,0.994,0.135,0.0617,0.77,97.268,new orleans jazz
Yes! I'm in the Barrel,0.751,0.133,-16.975,0.0899,0.996,0.139,0.128,0.765,147.306,new orleans jazz
The King of the Zulus,0.692,0.0833,-18.284,0.115,0.995,0.605,0.197,0.492,78.869,new orleans jazz
Yes! I'm In The Barrel,0.729,0.277,-9.915,0.0859,0.995,0.0015,0.107,0.746,155.109,new orleans jazz
Big Butter And Egg Man,0.65,0.297,-10.638,0.0855,0.993,0.0391,0.166,0.871,99.256,new orleans jazz
Sweet Little Papa,0.796,0.344,-10.067,0.0952,0.988,0.844,0.106,0.889,94.343,new orleans jazz
King Of The Zulus,0.595,0.258,-9.763,0.214,0.994,0.445,0.409,0.571,168.996,new orleans jazz
Got No Blues,0.686,0.271,-9.884,0.301,0.921,0.83,0.0696,0.841,142.565,new orleans jazz
Don't Forget To Mess Around,0.562,0.173,-15.913,0.254,0.996,0.78,0.0872,0.713,184.848,new orleans jazz
Jazz Lips,0.807,0.349,-12.433,0.0907,0.937,0.221,0.154,0.962,107.181,new orleans jazz
Hotter Than That,0.794,0.426,-9.428,0.0633,0.891,0.279,0.233,0.92,108.781,new orleans jazz
Sunset Cafe Stomp,0.819,0.371,-9.272,0.0855,0.992,0.0318,0.0987,0.947,106.524,new orleans jazz
Cornet Chop Suey,0.621,0.278,-9.357,0.144,0.994,0.137,0.0616,0.769,95.459,new orleans jazz
A Monday Date,0.804,0.312,-12.564,0.476,0.963,0.00262,0.151,0.716,117.446,new orleans jazz
Once In a While,0.749,0.35,-8.597,0.0636,0.857,0.851,0.042,0.738,100.835,new orleans jazz
The King of the Zulus,0.595,0.258,-9.763,0.214,0.994,0.445,0.409,0.571,168.996,new orleans jazz
Droppin' Shucks,0.579,0.295,-9.23,0.132,0.993,0.145,0.24,0.767,176.628,new orleans jazz
Big Fat Ma and Skinny Pa,0.593,0.343,-10.829,0.291,0.995,0.15,0.675,0.769,172.535,new orleans jazz
Skid-Dat-De-Dat,0.664,0.151,-13.342,0.0482,0.968,0.0227,0.0851,0.608,121.883,new orleans jazz
I'm Not Rough,0.61,0.39,-8.693,0.13,0.794,0.556,0.109,0.528,102.235,new orleans jazz
Droppin' Shucks,0.579,0.295,-9.23,0.133,0.993,0.145,0.24,0.766,176.622,new orleans jazz
Ory's Creole Trombone,0.709,0.52,-8.295,0.119,0.956,0.775,0.769,0.961,101.64,new orleans jazz
Skid-Dat-De-Dat,0.668,0.151,-13.342,0.0482,0.968,0.0224,0.0851,0.609,122.072,new orleans jazz
Don't Jive Me,0.615,0.354,-12.111,0.0778,0.931,0.796,0.296,0.935,175.153,new orleans jazz
"Come Back, Sweet Papa",0.775,0.302,-10.082,0.125,0.916,0.538,0.0369,0.925,99.515,new orleans jazz
Got No Blues,0.686,0.269,-9.795,0.308,0.918,0.79,0.0702,0.832,143.971,new orleans jazz
Hotter Than That,0.795,0.425,-9.428,0.0632,0.891,0.283,0.233,0.92,108.781,new orleans jazz
Cornet Chop Suey,0.613,0.167,-16.608,0.0967,0.995,0.868,0.164,0.725,88.744,new orleans jazz
Oriental Strut,0.54,0.254,-11.859,0.0823,0.995,0.493,0.175,0.473,183.916,new orleans jazz
Oriental Strut,0.537,0.157,-15.465,0.106,0.996,0.844,0.242,0.521,175.949,new orleans jazz
Put 'Em Down Blues,0.715,0.404,-10.592,0.0936,0.922,0.0131,0.175,0.871,101.018,new orleans jazz
I'm Not Rough,0.617,0.39,-8.693,0.13,0.794,0.556,0.109,0.53,102.556,new orleans jazz
Struttin' with Some Barbecue - 78 rpm Version,0.74,0.319,-8.707,0.119,0.931,0.869,0.0507,0.89,95.699,new orleans jazz
Heebie Jeebies,0.671,0.341,-9.597,0.0894,0.984,2.68e-05,0.143,0.626,164.49,new orleans jazz
Big Butter And Egg Man,0.656,0.295,-10.598,0.0882,0.994,0.0377,0.111,0.846,98.965,new orleans jazz
Put 'Em Down Blues,0.61,0.393,-11.365,0.134,0.924,0.0115,0.182,0.88,95.215,new orleans jazz
The King of the Zulus,0.596,0.252,-9.836,0.179,0.994,0.489,0.406,0.54,166.735,new orleans jazz
Lonesome Blues,0.536,0.115,-16.693,0.041,0.995,0.00176,0.105,0.313,78.728,new orleans jazz
Jazz Lips,0.614,0.196,-14.019,0.427,0.995,0.892,0.0526,0.899,201.119,new orleans jazz
West End Blues,0.576,0.234,-11.531,0.0537,0.968,0.646,0.0829,0.322,83.026,new orleans jazz
You Made Me Love You,0.712,0.331,-10.021,0.0686,0.994,0.0274,0.112,0.707,98.211,new orleans jazz
Sunset Cafe Stomp,0.819,0.366,-9.257,0.0846,0.992,0.048,0.0995,0.943,106.524,new orleans jazz
Ory's Creole Trombone,0.677,0.493,-9.078,0.131,0.959,0.82,0.757,0.963,104.383,new orleans jazz
Muskrat Ramble,0.665,0.366,-9.064,0.212,0.982,0.666,0.0763,0.854,183.755,new orleans jazz
Hotter Than That,0.791,0.401,-10.28,0.0864,0.931,0.567,0.193,0.928,107.604,new orleans jazz
Once In a While,0.757,0.328,-9.365,0.0679,0.866,0.829,0.0436,0.738,100.939,new orleans jazz
Jazz Lips,0.802,0.383,-11.351,0.0906,0.937,0.23,0.129,0.96,107.059,new orleans jazz
Got No Blues,0.683,0.254,-10.63,0.337,0.922,0.851,0.067,0.841,142.575,new orleans jazz
Sweet Little Papa,0.61,0.215,-13.863,0.363,0.996,0.892,0.16,0.818,180.075,new orleans jazz
Irish Black Bottom,0.73,0.389,-12.072,0.0723,0.876,3.99e-06,0.123,0.925,99.4,new orleans jazz
Heebie Jeebies,0.671,0.341,-9.597,0.0894,0.984,2.68e-05,0.143,0.626,164.49,new orleans jazz
Ory's Creole Trombone,0.673,0.485,-9.404,0.133,0.958,0.699,0.85,0.961,102.758,new orleans jazz
The Last Time,0.731,0.249,-11.251,0.0919,0.932,0.0219,0.112,0.832,78.711,new orleans jazz
The King of the Zulus,0.596,0.252,-9.836,0.179,0.994,0.489,0.406,0.54,166.735,new orleans jazz
Cornet Chop Suey,0.564,0.265,-10.21,0.294,0.995,0.291,0.0659,0.739,189.522,new orleans jazz
I'm Gonna Gitcha,0.757,0.382,-9.945,0.0779,0.984,0.00211,0.127,0.907,101.399,new orleans jazz
