name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
Arroyo 1 Ruido Blanco,0.0958,1.0,-19.038,0.0617,0.741,0.744,0.975,1e-05,161.461,lullaby
Aire Acondicionado Ruido Blanco,0.0,0.000248,-26.203,0.0,0.126,0.71,0.113,0.0,0.0,lullaby
Extractor De Humos Ruido Blanco,0.136,0.000933,-15.035,0.162,0.129,0.871,0.146,0.0278,140.205,lullaby
Aspiradora Ruido Blanco,0.0,0.224,-10.224,0.0,0.142,0.986,0.411,0.0,0.0,lullaby
Secador Del Pelo Ruido Blanco,0.186,0.643,-10.887,0.0533,0.126,0.998,0.939,1e-05,87.816,lullaby
Sèche-cheveux - Bruit Blanc - Sons Relaxation,0.186,0.643,-10.887,0.0533,0.126,0.998,0.939,1e-05,87.816,lullaby
"At Least It Was Here (""Community"" Main Title) [Full Length Version]",0.543,0.756,-8.655,0.0307,0.000979,0.000338,0.0864,0.332,145.098,la indie
מחכה,0.514,0.888,-4.502,0.0278,0.0717,3.4e-05,0.183,0.517,132.973,israeli singer-songwriter
אין פה מקום,0.419,0.393,-7.396,0.0409,0.908,4.32e-05,0.118,0.256,100.217,israeli singer-songwriter
כל פעם קצת,0.332,0.476,-6.154,0.0283,0.756,0.0032,0.0995,0.126,77.614,israeli singer-songwriter
לאט לאט,0.344,0.557,-5.776,0.0333,0.632,0.000133,0.127,0.0925,150.144,israeli singer-songwriter
